Date,Daily Power Production,Peak Grid Power Production,Solar Radiance
6/26/2023,495150,66.34,22.13
6/27/2023,493300,65.39,21.42
6/28/2023,498390,66.02,22.33
6/29/2023,520520,68.33,23.5
6/30/2023,532500,70.61,23.82
07/01/2023,520030,69.63,22.91
07/02/2023,508160,67.82,22.33
07/03/2023,499270,66.25,22.275
07/04/2023,521700,72.47,22.28
07/05/2023,531730,70.43,23.31
07/06/2023,523820,68.89,22.87
07/07/2023,532220,70.31,22.98
07/08/2023,530310,69.41,22.85
07/09/2023,486430,78.42,21.29
07/10/2023,526630,68.78,23.62
07/11/2023,450320,69.77,19.52
07/12/2023,449430,65.56,19.73
7/13/2023,380180,67.49,15.02
7/14/2023,491140,73.39,20.22
7/15/2023,527810,71.12,22.24
7/16/2023,421980,72.9,17.61
7/17/2023,506010,68.53,22.85
7/18/2023,539380,70.65,23.08
7/19/2023,462750,71.5,19.68
7/20/2023,344700,57,13.39
7/21/2023,379690,65.76,15.05
7/22/2023,470000,65.39,20.433
7/23/2023,474150,76.37,20.86
7/24/2023,479130,73.68,21.63
7/25/2023,439240,73.43,21.03
7/26/2023,421340,70.29,18.47
7/27/2023,293670,63.52,18
7/28/2023,396990,69.32,17.94
7/29/2023,418440,72.29,18.95
7/30/2023,425840,68.84,19.47
7/31/2023,380540,82.32,15.29
08/01/2023,411290,69.27,18.8
08/02/2023,508080,67.74,21.82
08/03/2023,451670,69.59,18.44
08/04/2023,473150,76.83,20.16
08/05/2023,514300,68.4,22.29
08/06/2023,514910,69.17,20.59
08/07/2023,510800,69.67,22.71
08/08/2023,517170,69.84,22.77
08/09/2023,522610,70.43,23.37
08/10/2023,539230,72.82,23.81
08/11/2023,544810,73.19,25
08/12/2023,537720,72,23.94
8/13/2023,531440,71.72,22.9
8/14/2023,542120,73.37,23.83
8/15/2023,539150,72.36,23.91
8/16/2023,502110,71.76,23.24
8/17/2023,526300,72.72,24.206
8/18/2023,527980,72.15,24.43
8/19/2023,518350,70.75,23.26
8/20/2023,521380,70.45,23.59
8/21/2023,475430,70.1,21.6
8/22/2023,306900,56,13.34
8/23/2023,416430,67.72,18.37
8/24/2023,529900,72.67,24.36
8/25/2023,533220,72.23,23.22
8/26/2023,533370,73.36,24.69
8/27/2023,534690,73.16,24.77
8/28/2023,531380,72.82,24.75
8/29/2023,501810,69.39,23.5
8/30/2023,419690,86.94,17.76
8/31/2023,513450,79.45,21.62
09/01/2023,522840,80.76,22.77
09/02/2023,529440,83.33,22.29
09/03/2023,456260,83.43,21.13
09/04/2023,500460,78.84,22.74
09/05/2023,530970,78.77,24.3
09/06/2023,538810,76.42,24.45
09/07/2023,472590,77,22.24
09/08/2023,376670,71.35,16.78
09/09/2023,481050,74.45,22.01
09/10/2023,432680,74.21,19.65
09/11/2023,407690,68.77,18.15
09/12/2023,420840,86.2,17.41
9/13/2023,538890,80.91,24.15
9/14/2023,536520,81.41,23.71
